Waterbody Name,Latitude,Longitude,Collection Date,Level 3 Ecoregion
Unnamed Trib to Pigeon Roost Cree,33.54944444,-89.08722222,1/19/2005,65
Unnamed Trib to Pigeon Roost Cree,33.5365,-89.09894444,1/19/2005,65
Unnamed Trib to Tallahaga Creek,33.00330556,-89.05875,1/6/2005,65
Stafford Creek,31.06925,-91.06844444,1/12/2005,74
Joes Creek,33.24008333,-88.58816667,1/11/2005,65
Chinchahoma Creek,33.34761111,-88.88297222,1/18/2005,65
Talking Warrior Creek,33.38372222,-88.87088889,1/18/2005,65
Bowie River,31.36316667,-89.33225,1/24/2005,65
Bowie River,31.36219444,-89.33213889,1/24/2005,65
Unnamed Trib to Chickasawhay Rive,31.437472,-88.49825,1/25/2005,65
Unnamed Trib to Chickasawhay Rive,31.436222,-88.496778,1/25/2005,65
Richardson Mill Creek,32.33622222,-89.17363889,1/25/2005,65
Turkey Creek,31.325,-91.15855556,1/18/2005,74
Stafford Creek,31.07733333,-91.07038889,1/12/2005,74
Cypress Creek,33.36986111,-88.99411111,1/19/2005,65
Coke Creek,34.872891,-88.349015,2/9/2006,65
Sevenmile Creek,34.9616,-88.378111,2/10/2006,65
Little Yellow Creek,34.834136,-88.286225,2/9/2006,65
Mill Creek,34.07608333,-88.37791667,2/1/2006,65
Shotbag Creek,33.281216,-88.669831,2/1/2006,65
Joe's Creek,33.132629,-88.596974,2/1/2006,65
Dry Creek,33.323717,-88.905588,2/15/2006,65
Hollis Creek,33.327408,-88.801159,2/14/2006,65
Shaw Creek,33.32669444,-88.78408333,2/14/2006,65
Little Baker's Creek,32.343565,-90.456542,1/25/2006,74
Lindsey Creek,32.312278,-90.385312,2/8/2006,74
Fourmile Branch,34.3235,-89.47780556,1/20/2006,65
Riverdale Creek,33.811479,-89.801892,3/4/2006,74
Big Cypress Creek,33.011833,-90.006806,2/21/2006,74
Green Creek,34.174077,-88.401629,1/31/2007,65
Weaver Creek,33.94391667,-88.48641667,1/31/2007,65
unnamed trib to Poplar Creek,33.31441667,-89.47969444,1/25/2007,65
Rambo Creek,32.87633333,-89.73555556,2/12/2007,65
Hobuck Creek,32.75366667,-89.92591667,2/16/2007,74
Tilda Bogue Creek,32.654393,-90.013855,2/22/2007,74
Sugar Bogue,32.44322222,-89.652,2/23/2007,65
Ford's Creek,31.19144444,-91.28944444,1/11/2007,74
Little Spring Creek,34.574357,-89.47483,1/11/2007,65
Blackwater Creek,32.64148333,-88.5379,2/16/2007,65
Irby Mill Creek,32.18030556,-88.58469444,2/5/2007,65
Kennison Creek,32.06469444,-90.92044444,1/9/2007,74
James Creek,31.94194444,-91.1205,12/14/2006,74
North Fork Coles Creek,31.75511111,-91.01783333,12/14/2006,74
Lee Creek,34.51208333,-89.48886111,1/12/2007,65
Campbell Creek,32.01136111,-89.88130556,12/4/2006,65
Limestone Creek,31.88291667,-90.11916667,2/6/2007,65
Riles Creek,31.92538889,-89.91030556,1/17/2007,65
Riles Creek,31.88941667,-89.85297222,2/19/2007,65
Leaf River,32.01352778,-89.43297222,1/31/2007,65
Castaffa Creek,31.97677778,-88.90811111,2/26/2007,65
Tallahoma Creek,31.79772222,-89.17477778,1/30/2007,65
Yellow Creek,31.73091667,-88.68833333,1/29/2007,65
Bayou Sara,31.00861111,-91.38988889,12/15/2006,74
Mcgehee Creek,31.470519,-90.763149,1/12/2007,74
Dry Creek,31.30838889,-91.10894444,12/5/2006,74
Tilton Creek,31.40925,-90.01875,2/20/2007,65
Holiday Creek,31.34605556,-89.87863889,2/17/2007,65
W. Hobolochitto Creek,30.89655556,-89.63263889,1/17/2007,65
Murder Creek,30.78897222,-89.37391667,1/18/2007,65
Turkey Creek,30.39808333,-89.13822222,2/12/2007,75
Big Cedar Creek,30.71997222,-88.58825,2/8/2007,75
East Fork Amite River,31.023979,-90.793169,12/6/2006,74
unnamed trib to Tenn-Tom,34.88563889,-88.25730556,2/6/2007,65
Wolf Creek,33.89936111,-88.57569444,1/30/2007,65
Black Creek,33.11719444,-90.12322222,1/24/2007,74
Big Cypress Creek,33.032896,-89.985799,2/14/2007,74
Ash Creek,32.98411667,-88.3695,2/17/2007,65
Straight Creek,32.83865,-88.66043333,2/16/2007,65
Bodka Creek,32.756334,-88.463979,2/18/2007,65
Beaver Creek,32.56156666,-90.49605,1/30/2007,74
Coldwater River,34.87644444,-89.494,2/28/2007,74
Bear Creek,32.435123,-90.635741,1/30/2007,74
Five Mile Creek,32.21566667,-90.69175,1/10/2007,74
Red Cane Creek,32.48002778,-89.78902778,2/23/2007,65
Oak Chewalla Creek,34.57991667,-89.51308333,1/11/2007,65
Long Creek,32.09688889,-88.61186111,2/6/2007,65
Fifteen Mile Creek,31.5755,-90.80418333,1/31/2007,74
Dabbs Creek,31.97986804,-89.91199362,2/8/2007,65
Silver Creek,31.51641667,-90.0325,2/17/2007,65
West Tallahala,32.02144444,-89.32016667,1/31/2007,65
Keys Mill Creek,31.91766667,-89.40344444,2/15/2007,65
Oakahay Creek,31.74416667,-89.44494444,1/31/2007,65
Souinlovey Creek,32.17102778,-88.93269444,2/6/2007,65
Tallahala Creek,31.96636111,-89.11519444,1/30/2007,65
Buckatunna Creek,32.16266667,-88.57897222,2/5/2007,65
White Sand Creek,31.45077778,-90.01008333,2/17/2007,65
Upper Little Creek,31.18813889,-89.79066667,2/16/2007,65
Beaver Dam Branch,31.11375,-89.41238889,2/16/2007,65
Beaver Dam Creek,30.97227778,-89.05844444,2/7/2007,65
Brushy Creek,30.94155556,-88.45383333,1/9/2007,65
Shelby Creek,34.77561111,-89.0825,2/28/2007,65
East Hobolochitto Creek,30.572,-89.59594444,2/12/2007,65
Black Creek,30.85472222,-88.9145,2/8/2007,65
Wolf River,30.72750702,-89.35438035,2/12/2007,65
Cypress Creek,31.26716667,-91.07005556,1/18/2007,74
Mill Creek,34.82725,-88.14025,2/7/2007,65
"Five Mile Creek, from Rhithron, 2007",31.953702,-88.541344,2/7/2007,65
Bophumpa Creek,33.204611,-90.042278,1/30/2008,74
Lobutcha Creek,32.981611,-89.382972,12/4/2007,65
Bayou Pierre (upstream),31.868944,-90.491556,12/12/2007,74
Mackey's Creek,34.48661111,-88.34447222,1/16/2008,65
Morgan Fork,31.484,-90.92733333,12/12/2007,74
South Fork Coles Creek,31.64444444,-91.15963889,1/2/2008,74
Mud Island Creek,31.74238889,-91.12633333,1/23/2008,74
Bolls Creek,31.72319444,-91.03063889,1/4/2008,74
Big Piney Creek,31.25741667,-91.32655556,1/3/2008,74
Little Buffalo River,31.16180556,-91.12688889,12/5/2007,74
Hominy Creek,31.14533333,-90.69025,1/14/2008,74
Robinson Creek,31.20963889,-90.70286111,1/14/2008,74
Percy Creek,31.14897222,-91.49266667,1/3/2008,74
East Fork Amite River,31.35897222,-90.61286111,1/14/2008,74
Clarks Creek,31.89188889,-90.84252778,1/9/2008,74
Little Bayou Pierre,31.90663889,-90.83383333,1/9/2008,74
Homochitto River,31.63311111,-90.71927778,12/6/2007,74
Upper Little Creek,31.25352778,-89.70075,1/5/2008,65
Greens Creek,31.40197222,-89.95330556,1/15/2008,65
Campbell Creek,32.13355556,-89.84061111,1/21/2008,65
Tumbaloo Creek,32.18694444,-90.00097222,1/21/2008,74
White Oak Creek,32.05980556,-90.58622222,1/17/2008,74
Tallahalla Creek,32.15772222,-90.43894444,1/15/2008,74
South Fork Tilatoba Creek,33.97811111,-89.97805556,1/24/2008,74
York Creek,33.94108333,-89.58222222,1/24/2008,65
Cane Creek,33.80627778,-88.92266667,1/28/2008,65
Chicco Creek,33.82972222,-88.94475,1/14/2008,65
Houlka Creek,33.87763889,-88.95186111,1/9/2008,65
Standing Reed Creek,33.699361,-88.935667,1/14/2008,65
Widows Creek,31.95444444,-91.06411111,1/16/2008,74
Paces Bayou,32.224,-90.91458333,12/11/2007,74
Muddy Bayou,31.84713889,-91.16125,1/22/2008,74
Bear Creek,31.20122222,-91.44402778,2/28/2008,74
Markman Creek,32.28375,-90.76980556,1/15/2008,74
Muddy Creek,32.36458333,-90.73333333,12/4/2007,74
Long Branch,30.63316667,-89.71286111,2/12/2008,65
Price Creek,30.67983333,-89.69927778,1/8/2008,65
Kennedy Creek,30.71166667,-89.66152778,1/8/2008,65
Kirby Creek,30.82538889,-89.24086111,2/11/2008,65
Double Branch,30.88269444,-89.23033333,2/11/2008,65
Martin Creek,30.89169444,-89.24416667,2/11/2008,65
Pearces Creek,31.04127778,-89.07872222,12/6/2007,65
